,,,,,Total Root Area (pixels²) at 0.3 confidence - Yolo Model v41,,,,,,,
Type,Plot ID,Genotype,Tube ID,# of Depths,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,"The model doesn't really overestimate, so there is usually at least X amount of pixels in the depth"
HPI,15_81,PI 533964,T762,7,184265,176221,72260,144858,208564,282642,98317,
HPI,15_82,PI 154987,T763,7,62557,16446,18420,114004,142133,157375,45263,
HPI,15_83,ADV F7424,T764,7,38115,7389,32898,148564,355998,242644,128508,
HPI,15_84,PI 656008,T765,7,102712,67944,69205,234807,340103,273583,194554,
HPI,15_85,PI 660565,T766,7,150183,53786,45749,76156,74518,294284,225626,
HPI,15_86,PI 533901,T767,7,22979,139322,61022,43716,137765,106276,48118,
HPI,15_87,PI 576434,T768,7,100030,156239,275078,108604,38777,144357,113664,
HPI,15_89,PI 629040,T769,7,32399,54056,30861,34127,22509,49592,45451,
HPI,15_90,Nutrichoice II,T770,7,32084,33451,23060,24997,55800,27065,13155,
HPI,15_91,PI 533962,T771,7,54078,139700,190509,182734,105750,88237,158374,
HPI,15_92,PI 656048,T772,7,46720,43117,129187,79496,37497,104279,51688,
HPI,15_93,ADV F8322,T773,7,15967,40101,44384,50979,108026,66922,51758,
HPI,15_94,PI 540816,T774,7,66370,58082,46639,151820,211545,237445,155800,
HPI,15_96,S425,T775,7,4881,69702,79078,162904,154709,124308,66170,
HPI,15_98,PI 656056,T776,7,69807,97167,120235,72593,57573,138605,53702,
HPI,15_99,PI 564165,T777,7,26853,76203,176876,214007,201332,195358,156959,
HPI,15_101,A.506xR.43,T778,7,,,,,,,,
HPI,15_102,PI 564164,T779,7,,,,,,,,
HPI,15_104,PI 534137,T780,7,,,,,,,,
HPI,15_105,PI 276837,T781,7,,,,,,,,
HPI,15_106,PI 574398,T782,7,,,,,,,,
HPI,15_107,PI 656010,T783,7,,,,,,,,
HPI,15_108,NK300,T784,7,,,,,,,,
HPI,15_109,PI 656011,T785,7,,,,,,,,
HPI,15_110,PI 533807,T786,7,,,,,,,,
HPI,15_111,PI 656071,T787,7,,,,,,,,
HPI,15_112,PI 656043,T788,7,61752,119551,73761,68348,83967,104060,123895,
HPI,15_113,PI 656057,T789,7,141803,28699,37692,82586,70458,93139,58784,
HPI,15_115,PI 533761,T790,7,35041,87957,150299,165395,101888,127822,99393,
HPI,15_117,PI 656068,T791,7,37768,102784,53868,70701,83704,128953,60620,
HPI,15_118,AF7401,T792,7,41669,64512,101837,56271,32344,30015,54429,
HPI,15_119,PI 655970,T793,7,69553,74829,89824,73684,130937,96253,103377,
HPI,15_120,PI 601554,T794,7,192795,86565,94920,44922,48720,41650,2790,
HPI,15_121,PI 655986,T795,7,60995,101849,169208,115674,99923,214692,272678,
HPI,15_122,AS5501,T796,7,179846,280826,338691,119857,81876,221546,202416,
HPI,15_123,PI 656076,T797,7,129101,205897,121349,92605,149225,163710,86186,
HPI,15_124,PI 533921,T798,7,51058,24883,41094,91745,207695,221680,217365,
HPI,15_125,PI 655973,T799,7,10453,13975,50590,111882,217125,240018,116941,
HPI,15_126,A.506xR.52,T800,7,150099,96401,32758,69946,107585,74694,70241,
HPI,15_127,PI 533869,T801,7,121062,67570,15598,65191,174329,167297,138525,
HPI,15_128,PI 656044,T802,7,60383,165244,174297,139856,217089,206233,322366,
HPI,15_129,PI 601555,T803,7,98562,132303,74718,19560,101963,NA,104835,
HPI,15_130,PI 655981,T804,7,26445,86772,72571,0,30074,24705,11807,
HPI,15_131,PI 656017,T805,7,50699,45794,58053,43673,36996,267537,0,
HPI,15_132,PI 552861,T806,7,46306,157261,176780,17879,12549,23905,28148,
HPI,15_133,PI 656117,T807,7,101383,209235,80564,51612,96634,147699,25606,
HPI,15_134,PI 552861,T808,7,140734,89162,77943,47881,32883,42011,84801,
HPI,15_135,PI 656117,T809,7,54119,52047,44593,168468,176353,63642,65975,
HPI,15_136,A.542xR.43,T810,7,205918,93215,108229,241503,264638,248695,311155,
HPI,15_137,F27,T811,7,87262,43639,72059,180522,151754,175283,49769,
HPI,15_138,Sordan Headless,T812,7,144579,60740,42405,101166,100779,114957,94115,
HPI,15_139,PI 576380,T813,7,61134,62816,76465,68213,150628,155232,28614,
HPI,15_140,ADV F8484IG,T814,7,101158,105097,137286,98966,97355,145093,77544,
HPI,15_141,PI 597964,T815,7,136348,201693,120445,24729,76889,123917,145478,
HPI,15_142,PI 656032,T816,7,48089,116406,121672,26473,59759,109652,90447,
HPI,15_143,ADV S6520,T817,7,89308,129486,115348,21700,39042,29088,37284,
HPI,15_144,PI 656016,T818,7,65141,48688,28493,23098,94655,18076,17068,
HPI,15_145,PI 329301,T819,7,37310,36175,34653,13403,41554,78510,49656,
HPI,15_147,PI 565121,T820,7,80536,61799,44249,44213,50749,31774,29119,
HPI,15_149,PI 656018,T821,7,106406,98816,66960,113098,60326,75912,28944,
HPI,15_150,PI 276816,T822,,,,,,,,,
HPI,15_151,PI 656082,T823,5,44706,39772,75643,108670,33986,,,
HPI,15_152,PI 534133,T824,6,36871,78269,45015,130498,83649,39150,,
HPI,15_153,PI 576130,T825,7,58084,97245,78495,174764,130830,273557,252346,
HPI,15_154,PI 574455,T826,7,119951,174865,90486,36377,62130,49925,15750,
HPI,15_155,PI 561073,T827,7,95985,89767,19023,62413,112421,54325,53999,
HPI,15_156,PI 533800,T828,7,60609,21341,22346,36353,6556,46133,145712,
HPI,16_2,PI 656034,T829,7,37457,80115,74729,21417,31590,58957,50427,
HPI,16_3,PI 597957,T830,7,24313,73664,54512,103225,53570,38772,33680,
HPI,16_4,A.506xR.65,T831,7,264650,200234,126638,72195,152955,362505,116887,
HPI,16_5,PI 659691,T832,7,9102,25789,109449,54527,73541,64056,45441,
