sample_id,genotype_raw,tube_id,plot_id,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_sum
PI_564165,PI 564165,T777,15_99,26853.0,76203.0,176876.0,214007.0,201332.0,195358.0,156959.0,1047588.0
PI_564164,PI 564164,T779,15_102,,,,,,,,0
PI_534137,PI 534137,T780,15_104,,,,,,,,0
PI_276837,PI 276837,T781,15_105,,,,,,,,0
PI_656010,PI 656010,T783,15_107,,,,,,,,0
PI_656011,PI 656011,T785,15_109,,,,,,,,0
PI_533807,PI 533807,T786,15_110,,,,,,,,0
PI_656071,PI 656071,T787,15_111,,,,,,,,0
PI_656043,PI 656043,T788,15_112,61752.0,119551.0,73761.0,68348.0,83967.0,104060.0,123895.0,635334.0
PI_656057,PI 656057,T789,15_113,141803.0,28699.0,37692.0,82586.0,70458.0,93139.0,58784.0,513161.0
PI_533761,PI 533761,T790,15_115,35041.0,87957.0,150299.0,165395.0,101888.0,127822.0,99393.0,767795.0
PI_656068,PI 656068,T791,15_117,37768.0,102784.0,53868.0,70701.0,83704.0,128953.0,60620.0,538398.0
PI_655970,PI 655970,T793,15_119,69553.0,74829.0,89824.0,73684.0,130937.0,96253.0,103377.0,638457.0
PI_656076,PI 656076,T797,15_123,129101.0,205897.0,121349.0,92605.0,149225.0,163710.0,86186.0,948073.0
PI_533921,PI 533921,T798,15_124,51058.0,24883.0,41094.0,91745.0,207695.0,221680.0,217365.0,855520.0
PI_655973,PI 655973,T799,15_125,10453.0,13975.0,50590.0,111882.0,217125.0,240018.0,116941.0,760984.0
PI_533869,PI 533869,T801,15_127,121062.0,67570.0,15598.0,65191.0,174329.0,167297.0,138525.0,749572.0
PI_656044,PI 656044,T802,15_128,60383.0,165244.0,174297.0,139856.0,217089.0,206233.0,322366.0,1285468.0
PI_655981,PI 655981,T804,15_130,26445.0,86772.0,72571.0,0.0,30074.0,24705.0,11807.0,252374.0
PI_656017,PI 656017,T805,15_131,50699.0,45794.0,58053.0,43673.0,36996.0,267537.0,0.0,502752.0
PI_552861,PI 552861,T806,15_132,46306.0,157261.0,176780.0,17879.0,12549.0,23905.0,28148.0,462828.0
PI_656117,PI 656117,T807,15_133,101383.0,209235.0,80564.0,51612.0,96634.0,147699.0,25606.0,712733.0
PI_552861,PI 552861,T808,15_134,140734.0,89162.0,77943.0,47881.0,32883.0,42011.0,84801.0,515415.0
PI_656117,PI 656117,T809,15_135,54119.0,52047.0,44593.0,168468.0,176353.0,63642.0,65975.0,625197.0
PI_576380,PI 576380,T813,15_139,61134.0,62816.0,76465.0,68213.0,150628.0,155232.0,28614.0,603102.0
PI_597964,PI 597964,T815,15_141,136348.0,201693.0,120445.0,24729.0,76889.0,123917.0,145478.0,829499.0
PI_656032,PI 656032,T816,15_142,48089.0,116406.0,121672.0,26473.0,59759.0,109652.0,90447.0,572498.0
PI_656016,PI 656016,T818,15_144,65141.0,48688.0,28493.0,23098.0,94655.0,18076.0,17068.0,295219.0
PI_565121,PI 565121,T820,15_147,80536.0,61799.0,44249.0,44213.0,50749.0,31774.0,29119.0,342439.0
PI_656018,PI 656018,T821,15_149,106406.0,98816.0,66960.0,113098.0,60326.0,75912.0,28944.0,550462.0
PI_576130,PI 576130,T825,15_153,58084.0,97245.0,78495.0,174764.0,130830.0,273557.0,252346.0,1065321.0
PI_574455,PI 574455,T826,15_154,119951.0,174865.0,90486.0,36377.0,62130.0,49925.0,15750.0,549484.0
PI_561073,PI 561073,T827,15_155,95985.0,89767.0,19023.0,62413.0,112421.0,54325.0,53999.0,487933.0
PI_533800,PI 533800,T828,15_156,60609.0,21341.0,22346.0,36353.0,6556.0,46133.0,145712.0,339050.0
PI_656034,PI 656034,T829,16_2,37457.0,80115.0,74729.0,21417.0,31590.0,58957.0,50427.0,354692.0
PI_597957,PI 597957,T830,16_3,24313.0,73664.0,54512.0,103225.0,53570.0,38772.0,33680.0,381736.0
PI_659691,PI 659691,T832,16_5,9102.0,25789.0,109449.0,54527.0,73541.0,64056.0,45441.0,381905.0
PI_534157,PI 534157,T833,16_6,25885.0,92112.0,56503.0,54471.0,44139.0,28066.0,3344.0,304520.0
PI_534114,PI 534114,T835,16_8,271519.0,207621.0,169227.0,217900.0,142492.0,98576.0,107197.0,1214532.0
PI_533760,PI 533760,T836,16_10,54147.0,22217.0,35353.0,6497.0,50766.0,80394.0,56738.0,306112.0
PI_656027,PI 656027,T837,16_11,134821.0,225951.0,135968.0,55454.0,102066.0,113607.0,193390.0,961257.0
PI_609456,PI 609456,T838,16_12,36002.0,105509.0,248916.0,43689.0,37929.0,97968.0,71485.0,641498.0
PI_533824,PI 533824,T839,16_13,58289.0,97084.0,296412.0,57250.0,18307.0,17113.0,79893.0,624348.0
PI_656118,PI 656118,T842,16_18,84783.0,92606.0,71279.0,19377.0,28258.0,166325.0,112707.0,575335.0
PI_564163,PI 564163,T843,16_19,174478.0,122029.0,179748.0,204225.0,197947.0,197023.0,129586.0,1205036.0
PI_656050,PI 656050,T844,16_20,87371.0,119542.0,67316.0,146279.0,155866.0,132436.0,70756.0,779566.0
PI_533855,PI 533855,T845,16_21,81267.0,166921.0,43241.0,38182.0,128137.0,124552.0,66587.0,648887.0
PI_656024,PI 656024,T847,16_23,32927.0,60741.0,73611.0,22077.0,3545.0,14127.0,114546.0,321574.0
PI_656031,PI 656031,T848,16_24,47834.0,126388.0,57690.0,56101.0,135961.0,119170.0,43064.0,586208.0
PI_561472,PI 561472,T849,16_25,58418.0,139916.0,105393.0,5519.0,27863.0,122417.0,133682.0,593208.0
PI_533972,PI 533972,T851,16_27,36902.0,61905.0,41768.0,42408.0,24412.0,19783.0,16933.0,244111.0
PI_561072,PI 561072,T852,16_28,67051.0,53352.0,33902.0,71377.0,77647.0,31612.0,31133.0,366074.0
PI_656093,PI 656093,T853,16_29,34139.0,28476.0,39381.0,21647.0,24113.0,44130.0,29191.0,221077.0
PI_534163,PI 534163,T854,16_30,77852.0,103975.0,76080.0,108106.0,117358.0,35753.0,65587.0,584711.0
PI_656070,PI 656070,T855,16_31,21174.0,58770.0,75151.0,48616.0,20977.0,86373.0,11719.0,322780.0
PI_533924,PI 533924,T857,16_34,47130.0,74836.0,55437.0,31572.0,35230.0,20970.0,72665.0,337840.0
PI_533965,PI 533965,T858,16_35,50626.0,81937.0,70360.0,143064.0,156263.0,145101.0,128670.0,776021.0
PI_534127,PI 534127,T859,16_9,42688.0,95189.0,161414.0,207786.0,131255.0,110552.0,44600.0,793484.0
